DMA	Date	UTC	City	Region	RegionAbbr	Subregion	Longitude	Latitude	DMA_Search	EST	US_Search	Search
Topeka KS	2023-02-12	2023-02-13 03:00:00	Topeka	Kansas	KS	Shawnee County	-95.67117999999992	39.04928000000008	3	2023-02-12 22:00:00	12	36
Columbus GA	2023-02-12	2023-02-13 03:00:00	Columbus	Georgia	GA	Muscogee County	-84.98756999999993	32.46288000000004	3	2023-02-12 22:00:00	12	36
Idaho Falls-Pocatello ID	2023-02-12	2023-02-13 03:00:00	Pocatello	Idaho	ID	Bannock County	-112.44707000002782	42.85455884157094	3	2023-02-12 22:00:00	12	36
Yakima-Pasco-Richland-Kennewick WA	2023-02-12	2023-02-13 03:00:00	Finley	Washington	WA	Benton County	-119.06973	46.17291000000006	3	2023-02-12 22:00:00	12	36
Rochester MN-Mason City IA-Austin MN	2023-02-12	2023-02-13 03:00:00	Rochester	Minnesota	MN	Olmsted County	-92.45932999999997	44.01932000000005	4	2023-02-12 22:00:00	12	48
Evansville IN	2023-02-12	2023-02-13 03:00:00	Evansville	Indiana	IN	Vanderburgh County	-87.56404999999995	37.97708000000006	3	2023-02-12 22:00:00	12	36
South Bend-Elkhart IN	2023-02-12	2023-02-13 03:00:00	Elkhart	Indiana	IN	Elkhart County	-85.99435542791646	41.67823591497595	3	2023-02-12 22:00:00	12	36
Syracuse NY	2023-02-12	2023-02-13 03:00:00	Syracuse	New York	NY	Onondaga County	-76.14737999999994	43.05042000000003	2	2023-02-12 22:00:00	12	24
Springfield MO	2023-02-12	2023-02-13 03:00:00	Springfield	Missouri	MO	Greene County	-93.29159	37.20897000000008	3	2023-02-12 22:00:00	12	36
Honolulu HI	2023-02-12	2023-02-13 03:00:00	Honolulu	Hawaii	HI	City and County of Honolulu	-157.85787999999997	21.304930000000077	2	2023-02-12 22:00:00	12	24
Lexington KY	2023-02-12	2023-02-13 03:00:00	Lexington	Kentucky	KY	Fayette County	-84.50032	38.04859000000005	2	2023-02-12 22:00:00	12	24
Louisville KY	2023-02-12	2023-02-13 03:00:00	Louisville	Kentucky	KY	Jefferson County	-85.76665999999993	38.254890000000046	2	2023-02-12 22:00:00	12	24
Baton Rouge LA	2023-02-12	2023-02-13 03:00:00	Baton Rouge	Louisiana	LA	East Baton Rouge Parish	-91.18663999999995	30.443350000000063	2	2023-02-12 22:00:00	12	24
Charlottesville VA	2023-02-12	2023-02-13 03:00:00	Charlottesville	Virginia	VA	City of Charlottesville	-78.47755999999998	38.032130000000045	2	2023-02-12 22:00:00	12	24
Ft. Myers-Naples FL	2023-02-12	2023-02-13 03:00:00	Fort Myers	Florida	FL	Lee County	-81.87043099999994	26.52099800000008	2	2023-02-12 22:00:00	12	24
Roanoke-Lynchburg VA	2023-02-12	2023-02-13 03:00:00	Vinton	Virginia	VA	Roanoke County	-79.89874899999995	37.28095200000007	2	2023-02-12 22:00:00	12	24
La Crosse-Eau Claire WI	2023-02-12	2023-02-13 03:00:00	Eau Claire	Wisconsin	WI	Eau Claire County	-91.46198630354552	44.76897105875712	2	2023-02-12 22:00:00	12	24
Birmingham AL	2023-02-12	2023-02-13 03:00:00	Birmingham	Alabama	AL	Jefferson County	-86.81178999999997	33.52072000000004	2	2023-02-12 22:00:00	12	24
Flint-Saginaw-Bay City MI	2023-02-12	2023-02-13 03:00:00	Bay City	Michigan	MI	Bay County	-83.88930356131523	43.59577191183817	2	2023-02-12 22:00:00	12	24
Tallahassee FL-Thomasville GA	2023-02-12	2023-02-13 03:00:00	Thomasville	Georgia	GA	Thomas County	-83.98791044156097	30.68477418710404	2	2023-02-12 22:00:00	12	24
Chattanooga TN	2023-02-12	2023-02-13 03:00:00	Chattanooga	Tennessee	TN	Hamilton County	-85.30946999999996	35.04672000000005	2	2023-02-12 22:00:00	12	24
Richmond-Petersburg VA	2023-02-12	2023-02-13 03:00:00	Petersburg	Virginia	VA	City of Petersburg	-77.3686188360574	37.23828377309041	2	2023-02-12 22:00:00	12	24
Reno NV	2023-02-12	2023-02-13 03:00:00	Reno	Nevada	NV	Washoe County	-119.81352999999996	39.527660000000026	2	2023-02-12 22:00:00	12	24
Columbia SC	2023-02-12	2023-02-13 03:00:00	Columbia	South Carolina	SC	Richland County	-81.04536999999993	33.99882000000002	2	2023-02-12 22:00:00	12	24
Augusta GA	2023-02-12	2023-02-13 03:00:00	Augusta	Georgia	GA	Richmond County	-81.97518999999994	33.47935000000007	2	2023-02-12 22:00:00	12	24
Shreveport LA	2023-02-12	2023-02-13 03:00:00	Shreveport	Louisiana	LA	Caddo Parish	-93.74688999999996	32.51487000000003	2	2023-02-12 22:00:00	12	24
Indianapolis IN	2023-02-12	2023-02-13 03:00:00	Indianapolis	Indiana	IN	Marion County	-86.15011999999997	39.766910000000045	2	2023-02-12 22:00:00	12	24
Memphis TN	2023-02-12	2023-02-13 03:00:00	Memphis	Tennessee	TN	Shelby County	-90.04924999999997	35.14976000000007	2	2023-02-12 22:00:00	12	24
Denver CO	2023-02-12	2023-02-13 03:00:00	Denver	Colorado	CO	City and County of Denver	-104.99201999999995	39.74001000000004	2	2023-02-12 22:00:00	12	24
Lincoln & Hastings-Kearney NE	2023-02-12	2023-02-13 03:00:00	Hastings	Nebraska	NE	Adams County	-98.38526599999992	40.616719000000046	2	2023-02-12 22:00:00	12	24
Milwaukee WI	2023-02-12	2023-02-13 03:00:00	Milwaukee	Wisconsin	WI	Milwaukee County	-87.90689999999995	43.04223000000008	1	2023-02-12 22:00:00	12	12
Portland OR	2023-02-12	2023-02-13 03:00:00	Portland	Oregon	OR	Multnomah County	-122.67562999999996	45.51179000000008	1	2023-02-12 22:00:00	12	12
Las Vegas NV	2023-02-12	2023-02-13 03:00:00	Las Vegas	Nevada	NV	Clark County	-115.14000999999996	36.17193000000003	1	2023-02-12 22:00:00	12	12
Santa Barbara-Santa Maria-San Luis Obispo CA	2023-02-12	2023-02-13 03:00:00	Santa Maria	California	CA	Santa Barbara	-120.42950467295438	34.910408369906094	2	2023-02-12 22:00:00	12	24
Fresno-Visalia CA	2023-02-12	2023-02-13 03:00:00	Farmersville	California	CA	Tulare County	-119.21050998885028	36.29238015215397	2	2023-02-12 22:00:00	12	24
Harrisburg-Lancaster-Lebanon-York PA	2023-02-12	2023-02-13 03:00:00	Lancaster	Pennsylvania	PA	Lancaster County	-76.31562127523881	40.0488282379337	2	2023-02-12 22:00:00	12	24
Detroit MI	2023-02-12	2023-02-13 03:00:00	Detroit	Michigan	MI	Wayne County	-83.04799999999993	42.33168000000006	1	2023-02-12 22:00:00	12	12
New Orleans LA	2023-02-12	2023-02-13 03:00:00	New Orleans	Louisiana	LA	Orleans Parish	-90.07774999999998	29.953700000000023	1	2023-02-12 22:00:00	12	12
San Diego CA	2023-02-12	2023-02-13 03:00:00	San Diego	California	CA	San Diego County	-117.16170999999996	32.71568000000008	1	2023-02-12 22:00:00	12	12
Charlotte NC	2023-02-12	2023-02-13 03:00:00	Charlotte	North Carolina	NC	Mecklenburg County	-80.83795999999995	35.222860000000026	1	2023-02-12 22:00:00	12	12
Grand Rapids-Kalamazoo-Battle Creek MI	2023-02-12	2023-02-13 03:00:00	Battle Creek	Michigan	MI	Calhoun County	-85.18682211214454	42.32892060475615	1	2023-02-12 22:00:00	12	12
Baltimore MD	2023-02-12	2023-02-13 03:00:00	Baltimore	Maryland	MD	City of Baltimore	-76.60925999999995	39.290580000000034	1	2023-02-12 22:00:00	12	12
Boston MA-Manchester NH	2023-02-12	2023-02-13 03:00:00	Manchester	New Hampshire	NH	Hillsborough County	-71.47493182459515	43.029593346961455	1	2023-02-12 22:00:00	12	12
Sacramento-Stockton-Modesto CA	2023-02-12	2023-02-13 03:00:00	Stockton	California	CA	San Joaquin County	-121.27113622179256	37.930607075860735	1	2023-02-12 22:00:00	12	12
Tulsa OK	2023-02-12	2023-02-13 03:00:00	Tulsa	Oklahoma	OK	Tulsa County	-95.99352	36.15011000000004	1	2023-02-12 22:00:00	12	12
Portland-Auburn ME	2023-02-12	2023-02-13 03:00:00	Auburn	Maine	ME	Androscoggin County	-70.28306819934934	44.021514101683046	1	2023-02-12 22:00:00	12	12
Omaha NE	2023-02-12	2023-02-13 03:00:00	Omaha	Nebraska	NE	Douglas County	-95.94025999999997	41.26068000000004	1	2023-02-12 22:00:00	12	12
Chicago IL	2023-02-12	2023-02-13 03:00:00	Chicago	Illinois	IL	Cook County	-87.63244999999995	41.88425000000007	1	2023-02-12 22:00:00	12	12
Huntsville-Decatur (Florence) AL	2023-02-12	2023-02-13 03:00:00	Florence	Alabama	AL	Lauderdale County	-87.60946000814877	34.835329994016945	1	2023-02-12 22:00:00	12	12
Nashville TN	2023-02-12	2023-02-13 03:00:00	Nashville	Tennessee	TN	Davidson County	-86.77815999999996	36.16784000000007	1	2023-02-12 22:00:00	12	12
Jacksonville FL	2023-02-12	2023-02-13 03:00:00	Jacksonville	Florida	FL	Duval County	-81.65621999999996	30.331470000000024	1	2023-02-12 22:00:00	12	12
Kansas City MO	2023-02-12	2023-02-13 03:00:00	Kansas City	Missouri	MO	Jackson County	-94.58310999999996	39.10344000000004	1	2023-02-12 22:00:00	12	12
Hartford & New Haven CT	2023-02-12	2023-02-13 03:00:00	Plainville	Connecticut	CT	Hartford County	-72.88918499503713	41.686260009504046	1	2023-02-12 22:00:00	12	12
Des Moines-Ames IA	2023-02-12	2023-02-13 03:00:00	Ames	Iowa	IA	Story County	-93.60973762720616	42.02379006704694	1	2023-02-12 22:00:00	12	12
Oklahoma City OK	2023-02-12	2023-02-13 03:00:00	Oklahoma City	Oklahoma	OK	Oklahoma County	-97.52106999999997	35.472030000000075	1	2023-02-12 22:00:00	12	12
Tampa-St. Petersburg (Sarasota) FL	2023-02-12	2023-02-13 03:00:00	Venice	Florida	FL	Sarasota	-82.33603478982988	27.06972205172892	1	2023-02-12 22:00:00	12	12
Seattle-Tacoma WA	2023-02-12	2023-02-13 03:00:00	Lakewood	Washington	WA	Pierce County	-122.50740001094871	47.146779998273935	1	2023-02-12 22:00:00	12	12
Austin TX	2023-02-12	2023-02-13 03:00:00	Austin	Texas	TX	Travis County	-97.74298999999996	30.26759000000004	1	2023-02-12 22:00:00	12	12
Washington DC (Hagerstown MD)	2023-02-12	2023-02-13 03:00:00	Hagerstown	Maryland	MD	Washington County	-77.72770017407683	39.64561007964432	1	2023-02-12 22:00:00	12	12
Phoenix AZ	2023-02-12	2023-02-13 03:00:00	Phoenix	Arizona	AZ	Maricopa County	-112.07579999999996	33.44825000000003	1	2023-02-12 22:00:00	12	12
Dallas-Ft. Worth TX	2023-02-12	2023-02-13 03:00:00	Dallas	Texas	TX	Tarrant County	-97.03982999999994	32.889850000000024	1	2023-02-12 22:00:00	12	12
Los Angeles CA	2023-02-12	2023-02-13 03:00:00	Los Angeles	California	CA	Los Angeles County	-118.24544999999992	34.05357000000004	1	2023-02-12 22:00:00	12	12
Buffalo NY	2023-02-12	2023-02-13 03:00:00	Buffalo	New York	NY	Erie County	-78.87845999999996	42.88544000000008	1	2023-02-12 22:00:00	12	12
Greenville-Spartanburg SC-Asheville NC-Anderson SC	2023-02-12	2023-02-13 03:00:00	Anderson	South Carolina	SC	Anderson County	-82.64961999999997	34.50061000000005	1	2023-02-12 22:00:00	12	12
Houston TX	2023-02-12	2023-02-13 03:00:00	Houston	Texas	TX	Harris County	-95.36951999999997	29.760780000000068	1	2023-02-12 22:00:00	12	12
Salt Lake City UT	2023-02-12	2023-02-13 03:00:00	Salt Lake City	Utah	UT	Salt Lake County	-111.88822	40.76031000000006	1	2023-02-12 22:00:00	12	12
New York NY	2023-02-12	2023-02-13 03:00:00	New York	New York	NY	New York County	-74.00711999999999	40.714540000000056	1	2023-02-12 22:00:00	12	12
Philadelphia PA	2023-02-12	2023-02-13 03:00:00	Philadelphia	Pennsylvania	PA	Philadelphia County	-75.16217999999996	39.95222000000008	1	2023-02-12 22:00:00	12	12
Orlando-Daytona Beach-Melbourne FL	2023-02-12	2023-02-13 03:00:00	Melbourne	Florida	FL	Brevard County	-80.66641210933265	28.08223636700527	1	2023-02-12 22:00:00	12	12
Atlanta GA	2023-02-12	2023-02-13 03:00:00	Atlanta	Georgia	GA	Fulton County	-84.39110999999998	33.74831000000006	1	2023-02-12 22:00:00	12	12
San Francisco-Oakland-San Jose CA	2023-02-12	2023-02-13 03:00:00	Emeryville	California	CA	Alameda County	-122.3006560569526	37.84698441327769	1	2023-02-12 22:00:00	12	12
Zanesville OH	2023-02-13	2023-02-14 03:00:00	Zanesville	Ohio	OH	Muskingum County	-82.00138999999997	39.940540000000055	100	2023-02-13 22:00:00	33	3300
Helena MT	2023-02-13	2023-02-14 03:00:00	Helena	Montana	MT	Lewis and Clark County	-112.02064999999996	46.58976000000007	92	2023-02-13 22:00:00	33	3036
Eureka CA	2023-02-13	2023-02-14 03:00:00	Eureka	California	CA	Humboldt County	-124.15952999999996	40.803270000000055	48	2023-02-13 22:00:00	33	1584
Minneapolis-St. Paul MN	2023-02-12	2023-02-13 03:00:00	Saint Paul	Minnesota	MN	Hennepin County	-93.19663999999992	44.87207000000007	1	2023-02-12 22:00:00	12	12
North Platte NE	2023-02-13	2023-02-14 03:00:00	North Platte	Nebraska	NE	Lincoln County	-100.76332999999993	41.13632000000007	82	2023-02-13 22:00:00	33	2706
Elmira NY	2023-02-13	2023-02-14 03:00:00	Elmira	New York	NY	Chemung County	-76.79892999999998	42.090640000000064	47	2023-02-13 22:00:00	33	1551
Great Falls MT	2023-02-13	2023-02-14 03:00:00	Great Falls	Montana	MT	Cascade County	-111.30606999999996	47.50732000000005	38	2023-02-13 22:00:00	33	1254
Wheeling WV-Steubenville OH	2023-02-13	2023-02-14 03:00:00	Steubenville	Ohio	OH	Jefferson County	-80.63842999999997	40.36962000000005	42	2023-02-13 22:00:00	33	1386
Dayton OH	2023-02-13	2023-02-14 03:00:00	Dayton	Ohio	OH	Montgomery County	-84.19380999999998	39.75920000000008	37	2023-02-13 22:00:00	33	1221
Binghamton NY	2023-02-13	2023-02-14 03:00:00	Binghamton	New York	NY	Broome County	-75.91128999999995	42.09871000000004	36	2023-02-13 22:00:00	33	1188
Terre Haute IN	2023-02-13	2023-02-14 03:00:00	Terre Haute	Indiana	IN	Vigo County	-87.41300999999999	39.46649000000008	33	2023-02-13 22:00:00	33	1089
Toledo OH	2023-02-13	2023-02-14 03:00:00	Toledo	Ohio	OH	Lucas County	-83.53673999999995	41.65404000000007	32	2023-02-13 22:00:00	33	1056
Grand Junction-Montrose CO	2023-02-13	2023-02-14 03:00:00	Olathe	Colorado	CO	Montrose	-107.977821651081	38.60269263319038	45	2023-02-13 22:00:00	33	1485
West Palm Beach-Ft. Pierce FL	2023-02-12	2023-02-13 03:00:00	Port Saint Lucie	Florida	FL	St. Lucie County	-80.31280254736411	27.265637995158247	1	2023-02-12 22:00:00	12	12
Youngstown OH	2023-02-13	2023-02-14 03:00:00	Youngstown	Ohio	OH	Mahoning County	-80.65078999999997	41.098100000000045	29	2023-02-13 22:00:00	33	957
Lima OH	2023-02-13	2023-02-14 03:00:00	Lima	Ohio	OH	Allen County	-84.10744999999997	40.74269000000004	27	2023-02-13 22:00:00	33	891
Erie PA	2023-02-13	2023-02-14 03:00:00	Erie	Pennsylvania	PA	Erie County	-80.08549999999997	42.129820000000045	27	2023-02-13 22:00:00	33	891
Cheyenne WY-Scottsbluff NE	2023-02-13	2023-02-14 03:00:00	Scottsbluff	Nebraska	NE	Scotts Bluff County	-103.63793502731151	41.8762950002571	35	2023-02-13 22:00:00	33	1155
Columbus OH	2023-02-13	2023-02-14 03:00:00	Columbus	Ohio	OH	Franklin County	-83.00274999999993	39.96199000000007	27	2023-02-13 22:00:00	33	891
Harrisonburg VA	2023-02-13	2023-02-14 03:00:00	Harrisonburg	Virginia	VA	City of Harrisonburg	-78.86969999999997	38.45163000000008	26	2023-02-13 22:00:00	33	858
Hattiesburg-Laurel MS	2023-02-13	2023-02-14 03:00:00	Hattiesburg	Mississippi	MS	Forrest County	-89.33815899999996	31.325233000000026	28	2023-02-13 22:00:00	33	924
Cincinnati OH	2023-02-13	2023-02-14 03:00:00	Cincinnati	Ohio	OH	Hamilton County	-84.51438999999993	39.12711000000007	25	2023-02-13 22:00:00	33	825
Watertown NY	2023-02-13	2023-02-14 03:00:00	Watertown	New York	NY	Jefferson County	-75.91427999999996	43.97586000000008	26	2023-02-13 22:00:00	33	858
Casper-Riverton WY	2023-02-13	2023-02-14 03:00:00	Riverton	Wyoming	WY	Fremont County	-108.36304766184284	43.0829585806312	24	2023-02-13 22:00:00	33	792
Charleston-Huntington WV	2023-02-13	2023-02-14 03:00:00	Huntington	West Virginia	WV	Cabell County	-82.41917368177556	38.41415102368572	27	2023-02-13 22:00:00	33	891
Cleveland-Akron (Canton) OH	2023-02-13	2023-02-14 03:00:00	Canton	Ohio	OH	Stark County	-81.38800503285043	40.77287999716256	25	2023-02-13 22:00:00	33	825
Ft. Wayne IN	2023-02-13	2023-02-14 03:00:00	Fort Wayne	Indiana	IN	Allen County	-85.13830999999999	41.08026000000008	22	2023-02-13 22:00:00	33	726
Savannah GA	2023-02-13	2023-02-14 03:00:00	Savannah	Georgia	GA	Chatham County	-81.09118999999998	32.080910000000074	20	2023-02-13 22:00:00	33	660
Bowling Green KY	2023-02-13	2023-02-14 03:00:00	Bowling Green	Kentucky	KY	Warren County	-86.44557999999995	36.99462000000005	23	2023-02-13 22:00:00	33	759
Lafayette IN	2023-02-13	2023-02-14 03:00:00	Lafayette	Indiana	IN	Tippecanoe County	-86.87597999999997	40.41738000000004	19	2023-02-13 22:00:00	33	627
Pittsburgh PA	2023-02-13	2023-02-14 03:00:00	Pittsburgh	Pennsylvania	PA	Allegheny County	-79.99733999999995	40.43851000000007	19	2023-02-13 22:00:00	33	627
Panama City FL	2023-02-13	2023-02-14 03:00:00	Panama City	Florida	FL	Bay County	-85.66033	30.15987000000007	19	2023-02-13 22:00:00	33	627
Louisville KY	2023-02-13	2023-02-14 03:00:00	Louisville	Kentucky	KY	Jefferson County	-85.76665999999993	38.254890000000046	19	2023-02-13 22:00:00	33	627
Buffalo NY	2023-02-13	2023-02-14 03:00:00	Buffalo	New York	NY	Erie County	-78.87845999999996	42.88544000000008	19	2023-02-13 22:00:00	33	627
Knoxville TN	2023-02-13	2023-02-14 03:00:00	Knoxville	Tennessee	TN	Knox County	-83.92102999999997	35.960680000000025	18	2023-02-13 22:00:00	33	594
Monterey-Salinas CA	2023-02-13	2023-02-14 03:00:00	Salinas	California	CA	Monterey	-121.65482999999992	36.67087000000004	18	2023-02-13 22:00:00	33	594
Monroe LA-El Dorado AR	2023-02-13	2023-02-14 03:00:00	Monroe	Ohio	OH	Preble County	-84.67633999999998	39.88727000000006	22	2023-02-13 22:00:00	33	726
Cedar Rapids-Waterloo-Iowa City & Dubuque IA	2023-02-13	2023-02-14 03:00:00	Waterloo	Iowa	IA	Black Hawk County	-92.33877829277164	42.495836568877465	17	2023-02-13 22:00:00	33	561
Ft. Smith-Fayetteville-Springdale-Rogers AR	2023-02-13	2023-02-14 03:00:00	Springdale	Arkansas	AR	Washington County	-94.1037260045514	36.17115248366951	17	2023-02-13 22:00:00	33	561
Johnstown-Altoona PA	2023-02-13	2023-02-14 03:00:00	Altoona	Pennsylvania	PA	Blair County	-78.32129695025407	40.52020954635128	18	2023-02-13 22:00:00	33	594
Amarillo TX	2023-02-13	2023-02-14 03:00:00	Amarillo	Texas	TX	Potter County	-101.83388999999994	35.207250000000045	16	2023-02-13 22:00:00	33	528
South Bend-Elkhart IN	2023-02-13	2023-02-14 03:00:00	Elkhart	Indiana	IN	Elkhart County	-85.99435542791646	41.67823591497595	17	2023-02-13 22:00:00	33	561
Rochester NY	2023-02-13	2023-02-14 03:00:00	Rochester	New York	NY	Monroe County	-77.61631999999997	43.155800000000056	16	2023-02-13 22:00:00	33	528
Traverse City-Cadillac MI	2023-02-13	2023-02-14 03:00:00	Traverse City	Michigan	MI	Grand Traverse County	-85.59611399999993	44.743381000000056	15	2023-02-13 22:00:00	33	495
Yakima-Pasco-Richland-Kennewick WA	2023-02-13	2023-02-14 03:00:00	Finley	Washington	WA	Benton County	-119.06973	46.17291000000006	15	2023-02-13 22:00:00	33	495
Joplin MO-Pittsburg KS	2023-02-13	2023-02-14 03:00:00	Pittsburg	Kansas	KS	Crawford County	-94.70037000938336	37.41058500363053	15	2023-02-13 22:00:00	33	495
Grand Rapids-Kalamazoo-Battle Creek MI	2023-02-13	2023-02-14 03:00:00	Battle Creek	Michigan	MI	Calhoun County	-85.18682211214454	42.32892060475615	14	2023-02-13 22:00:00	33	462
Duluth MN-Superior WI	2023-02-13	2023-02-14 03:00:00	Duluth	Minnesota	MN	St. Louis County	-92.15246493953276	46.74651326018735	14	2023-02-13 22:00:00	33	462
Champaign & Springfield-Decatur IL	2023-02-13	2023-02-14 03:00:00	Springfield	Illinois	IL	Sangamon County	-89.64715339040946	39.837449984549295	19	2023-02-13 22:00:00	33	627
Waco-Temple-Bryan TX	2023-02-13	2023-02-14 03:00:00	Bryan	Texas	TX	Brazos County	-96.36367641045288	30.688316939527848	15	2023-02-13 22:00:00	33	495
Nashville TN	2023-02-13	2023-02-14 03:00:00	Nashville	Tennessee	TN	Davidson County	-86.77815999999996	36.16784000000007	14	2023-02-13 22:00:00	33	462
Madison WI	2023-02-13	2023-02-14 03:00:00	Madison	Wisconsin	WI	Dane County	-89.38643999999994	43.07313000000005	13	2023-02-13 22:00:00	33	429
Laredo TX	2023-02-13	2023-02-14 03:00:00	Laredo	Texas	TX	Webb County	-99.50230999999997	27.53092000000004	13	2023-02-13 22:00:00	33	429
Lexington KY	2023-02-13	2023-02-14 03:00:00	Lexington	Kentucky	KY	Fayette County	-84.50032	38.04859000000005	13	2023-02-13 22:00:00	33	429
Evansville IN	2023-02-13	2023-02-14 03:00:00	Evansville	Indiana	IN	Vanderburgh County	-87.56404999999995	37.97708000000006	12	2023-02-13 22:00:00	33	396
Tulsa OK	2023-02-13	2023-02-14 03:00:00	Tulsa	Oklahoma	OK	Tulsa County	-95.99352	36.15011000000004	12	2023-02-13 22:00:00	33	396
Houston TX	2023-02-13	2023-02-14 03:00:00	Houston	Texas	TX	Harris County	-95.36951999999997	29.760780000000068	12	2023-02-13 22:00:00	33	396
San Antonio TX	2023-02-13	2023-02-14 03:00:00	San Antonio	Texas	TX	Bexar County	-98.49460999999997	29.42458000000005	12	2023-02-13 22:00:00	33	396
Charleston SC	2023-02-13	2023-02-14 03:00:00	Charleston	South Carolina	SC	Charleston County	-79.93159999999993	32.781150000000025	12	2023-02-13 22:00:00	33	396
Jackson MS	2023-02-13	2023-02-14 03:00:00	Jackson	Mississippi	MS	Hinds County	-90.18043999999996	32.29896000000008	11	2023-02-13 22:00:00	33	363
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL	2023-02-13	2023-02-14 03:00:00	Mt Vernon	Illinois	IL	Jefferson County	-88.90363999999995	38.31728000000004	14	2023-02-13 22:00:00	33	462
Greenville-Spartanburg SC-Asheville NC-Anderson SC	2023-02-13	2023-02-14 03:00:00	Anderson	South Carolina	SC	Anderson County	-82.64961999999997	34.50061000000005	14	2023-02-13 22:00:00	33	462
Spokane WA	2023-02-13	2023-02-14 03:00:00	Spokane	Washington	WA	Spokane County	-117.41161999999996	47.65726000000007	11	2023-02-13 22:00:00	33	363
Wilmington NC	2023-02-13	2023-02-14 03:00:00	Wilmington	North Carolina	NC	New Hanover County	-77.94599999999997	34.23497000000003	11	2023-02-13 22:00:00	33	363
Anchorage AK	2023-02-13	2023-02-14 03:00:00	Anchorage	Alaska	AK	Municipality of Anchorage	-149.85814999999997	61.21753000000008	11	2023-02-13 22:00:00	33	363
Austin TX	2023-02-13	2023-02-14 03:00:00	Austin	Texas	TX	Travis County	-97.74298999999996	30.26759000000004	11	2023-02-13 22:00:00	33	363
Lafayette LA	2023-02-13	2023-02-14 03:00:00	Lafayette	Louisiana	LA	Lafayette Parish	-92.01704999999998	30.220320000000072	11	2023-02-13 22:00:00	33	363
Chattanooga TN	2023-02-13	2023-02-14 03:00:00	Chattanooga	Tennessee	TN	Hamilton County	-85.30946999999996	35.04672000000005	11	2023-02-13 22:00:00	33	363
Des Moines-Ames IA	2023-02-13	2023-02-14 03:00:00	Ames	Iowa	IA	Story County	-93.60973762720616	42.02379006704694	11	2023-02-13 22:00:00	33	363
Little Rock-Pine Bluff AR	2023-02-13	2023-02-14 03:00:00	White Hall	Arkansas	AR	Jefferson County	-92.09252787844376	34.280418002916115	14	2023-02-13 22:00:00	33	462
Boise ID	2023-02-13	2023-02-14 03:00:00	Boise	Idaho	ID	Ada County	-116.19339999999994	43.60764000000007	11	2023-02-13 22:00:00	33	363
Columbia SC	2023-02-13	2023-02-14 03:00:00	Columbia	South Carolina	SC	Richland County	-81.04536999999993	33.99882000000002	10	2023-02-13 22:00:00	33	330
Detroit MI	2023-02-13	2023-02-14 03:00:00	Detroit	Michigan	MI	Wayne County	-83.04799999999993	42.33168000000006	10	2023-02-13 22:00:00	33	330
Corpus Christi TX	2023-02-13	2023-02-14 03:00:00	Corpus Christi	Texas	TX	Nueces County	-97.40389	27.79641000000004	10	2023-02-13 22:00:00	33	330
Minot-Bismarck-Dickinson(Williston) ND	2023-02-13	2023-02-14 03:00:00	Williston	North Dakota	ND	Williams County	-103.62186999999994	48.14704000000006	11	2023-02-13 22:00:00	33	363
Tri-Cities TN-VA	2023-02-13	2023-02-14 03:00:00		Tennessee	TN	Sullivan County	-82.35488999999995	36.517360000000046	10	2023-02-13 22:00:00	33	330
Charlotte NC	2023-02-13	2023-02-14 03:00:00	Charlotte	North Carolina	NC	Mecklenburg County	-80.83795999999995	35.222860000000026	10	2023-02-13 22:00:00	33	330
Albany-Schenectady-Troy NY	2023-02-13	2023-02-14 03:00:00	Schenectady	New York	NY	Schenectady County	-73.85410778560362	42.782520346101855	11	2023-02-13 22:00:00	33	363
Harrisburg-Lancaster-Lebanon-York PA	2023-02-13	2023-02-14 03:00:00	Lancaster	Pennsylvania	PA	Lancaster County	-76.31562127523881	40.0488282379337	11	2023-02-13 22:00:00	33	363
Rockford IL	2023-02-13	2023-02-14 03:00:00	Rockford	Illinois	IL	Winnebago County	-89.07739999999995	42.26690000000008	10	2023-02-13 22:00:00	33	330
Chico-Redding CA	2023-02-13	2023-02-14 03:00:00	Redding	California	CA	Shasta County	-122.39248999999997	40.58762000000007	10	2023-02-13 22:00:00	33	330
Albuquerque-Santa Fe NM	2023-02-13	2023-02-14 03:00:00	Albuquerque	New Mexico	NM	Bernalillo County	-106.57998499999997	35.088640000000055	9	2023-02-13 22:00:00	33	297
Fargo-Valley City ND	2023-02-13	2023-02-14 03:00:00	Valley City	North Dakota	ND	Barnes County	-98.00225999999996	46.92335000000002	10	2023-02-13 22:00:00	33	330
Albany GA	2023-02-13	2023-02-14 03:00:00	Albany	Georgia	GA	Dougherty County	-84.15601999999996	31.58140000000003	9	2023-02-13 22:00:00	33	297
Philadelphia PA	2023-02-13	2023-02-14 03:00:00	Philadelphia	Pennsylvania	PA	Philadelphia County	-75.16217999999996	39.95222000000008	9	2023-02-13 22:00:00	33	297
Florence-Myrtle Beach SC	2023-02-13	2023-02-14 03:00:00	Myrtle Beach	South Carolina	SC	Horry County	-78.99494599999997	33.67792000000003	9	2023-02-13 22:00:00	33	297
Springfield MO	2023-02-13	2023-02-14 03:00:00	Springfield	Missouri	MO	Greene County	-93.29159	37.20897000000008	9	2023-02-13 22:00:00	33	297
Oklahoma City OK	2023-02-13	2023-02-14 03:00:00	Oklahoma City	Oklahoma	OK	Oklahoma County	-97.52106999999997	35.472030000000075	9	2023-02-13 22:00:00	33	297
