Date,Search
20230308,2
20230309,0
20230310,3
20230311,0
20230312,0
20230313,0
20230314,0
20230315,2
20230316,4
20230317,16
20230318,100
20230319,83
20230320,24
20230321,30
20230322,18
20230323,14
20230324,17
20230325,14
20230326,9
20230327,12
20230328,12
20230329,0
20230330,0
20230331,0
