Date	Tweet Count	Popular URL Count	Political Tweet Count	Non-Political Tweet Count	Popular Domain Count
2023-02-03	0.0	0.0	0.0	0.0	0.0
2023-02-04	0.01312600279930359	0.0	0.0005555169779876397	0.05640971931294512	0.03153131698023339
2023-02-05	0.010024335409239651	0.0	0.00020831886674536489	0.024214495182237117	0.017527982853060252
2023-02-06	0.02828564601001702	0.0	0.0007638358447330046	0.11229576874738165	0.0751131221719457
2023-02-07	0.011277682137614545	0.0	0.0006943962224845496	0.0378718056137411	0.024720171469397475
2023-02-08	0.012228665063813392	0.0008893406174564858	0.0006249566002360946	0.028592375366568917	0.019242676827816146
2023-02-09	0.04267718762649292	0.02280523440477703	0.00041663773349072977	0.05726853791369921	0.048059061681352704
2023-02-10	0.08102618372990134	0.021280650489137336	0.0005555169779876397	0.052031839128613325	0.05396522981662301
2023-02-11	0.09525922819201076	0.04491170118155253	0.0005555169779876397	0.10268118977796398	0.09854727316027626
2023-02-12	0.288606249177034	0.2565112438063778	0.0027081452676897435	0.27685379136992044	0.330316742081448
2023-02-13	1.0	0.36640833439207215	0.06603708075828067	1.0	0.6427244582043343
2023-02-14	0.764490297535735	0.23554821496633208	0.13193528227206444	0.8023250942605781	0.5728983091212193
2023-02-15	0.4266523937947145	0.3797484436539194	0.33942087355044787	0.6164432341851697	0.5409859490354846
2023-02-16	0.45819088909588346	0.9999999999999999	0.9999999999999999	0.8832635106828655	1.0
2023-02-17	0.37416301310405703	0.544403506543006	0.8473022706756475	0.8220779220779221	0.7880447725648964
2023-02-18	0.23023052801498164	0.14896455342396137	0.3685160752725505	0.44411395056556346	0.39985710883543707
2023-02-19	0.14121608770500998	0.026870791513149535	0.12867162002638705	0.26667364893171347	0.2182900690640629
2023-02-20	0.1487264144042214	0.015499936475670181	0.12978265398236233	0.22677000418935903	0.19037866158609196
2023-02-21	0.19988929583371942	0.013086011942574005	0.13540726338448716	0.36656891495601174	0.2779233150750179
2023-02-22	0.19032094454550333	0.012704865963664082	0.43191445038538984	0.3482195224130708	0.42519647535127414
2023-02-23	0.31360734646502575	0.009973319781476305	0.33483785848204983	0.5398617511520737	0.417004048582996
2023-02-24	0.22684112732929856	0.0069241519501969245	0.22074855912783833	0.33690825303728533	0.24786854012860207
2023-02-25	0.1458954113854602	0.004256130097827468	0.1612388028609124	0.2289275240888144	0.19099785663253158
2023-02-26	0.0934279764546381	0.0023504002032778554	0.09228525796819664	0.16158357771260995	0.12479161705167897
2023-02-27	0.09365231088851066	0.0020963028840045735	0.0866606485660718	0.1440930037704231	0.09054536794474875
2023-02-28	0.09902902204817338	0.0014610595858213695	0.12832442191514476	0.1440930037704231	0.11116932603000715
