Date	Video Count	Video Attention	Author Attention
2023-02-04	0.13793103448275862	0.090184439987513	0.668401923931974
2023-02-05	0.034482758620689655	0.0	0.0
2023-02-06	0.41379310344827586	0.4940280444571785	0.2214525827070709
2023-02-07	0.10344827586206896	0.013975188481160437	0.03396361880053163
2023-02-08	0.13793103448275862	0.060780096047348006	0.5718023388361984
2023-02-09	0.06896551724137931	0.3629443686576036	1.0000000000000002
2023-02-10	0.06896551724137931	0.22583955902036834	0.8067093472628699
2023-02-11	0.10344827586206896	0.19905235564032275	0.0696628004515262
2023-02-12	0.41379310344827586	0.2793198855642461	0.025627305238687774
2023-02-13	0.5172413793103449	0.4762297780989809	0.0732501490330763
2023-02-14	0.8275862068965517	0.5730639788233985	0.15816846732719705
2023-02-15	0.9655172413793104	0.5982146568424114	0.7426542118919873
2023-02-16	0.9310344827586207	1.0	0.17574045494713822
2023-02-17	1.0	0.9978104967863053	0.2099207577482524
2023-02-18	0.3103448275862069	0.24195721060711672	0.1356340678876724
2023-02-19	0.27586206896551724	0.43353998195370397	0.11368687230564029
2023-02-20	0.24137931034482757	0.64251600432769	0.025391291739816114
2023-02-21	0.27586206896551724	0.26497692896516034	0.023109823793433872
2023-02-22	0.27586206896551724	0.14224928691472483	0.2003580600242694
2023-02-23	0.2068965517241379	0.19097428616635947	0.7118832635295274
2023-02-24	0.0	0.011405088029147761	0.02848045610032007
2023-02-25	0.0	0.020009151439213488	0.014198370925534607
2023-02-26	0.034482758620689655	0.0037632086485376946	0.08999643671624948
2023-02-27	0.0	0.008266229906390185	0.08174877377924963
2023-02-28	0.06896551724137931	0.0031131998819720914	0.10454558723374588
