Id	CreateTime	Title	Comment	Play	Share	Dig	Duration	AuthorId	AuthorFollower	AuthorHeart	AuthorVideoCount	Day	Keyword
7203598104078093570	2023-02-24 05:59:48	Four weeks on, the effects of a train derailment in Ohio, that resulted in a devastating chemical spill, are starting to be felt. It comes as the federal US agency investigating the incident said it was “100 per cent preventable”. Click the link in our bio for the full story by Farrah Tomazin. #ohio #eastpalestine #ohiotrainderailment	3231	411700	4104	49300	89	6704815851298096134	60400	2300000	1104	20230224	Derailment
7203718846488956206	2023-02-24 13:48:30	KEEPIN’ AN EYE ON THIS ONE 👀 #quiverquant #eastpalestine #ohio #news #stocks #finance #learnontiktok #fyp 	1458	1700000	3895	143600	123	6922780327602799622	1200000	8600000	412	20230224	Derailment
7204306772297829675	2023-02-26 03:49:52	Stay informed #eastpalestine #ohio #derailment #AXERatioChallenge #fypシ #norfolk #chemicalspill #usa #trump #biden 	3859	612600	5489	50000	91	7199745778263589931	29300	388800	149	20230226	Derailment
7205276332144495914	2023-02-28 18:32:17	#AXERatioChallenge #fyp #train #florida #viral #patriots 	241	24300	469	998	16	7179770612910310442	3114	35400	189	20230228	Derailment
7205296447514873131	2023-02-28 19:50:23	Bradenton, Florida Train Derailment Breaking News #manateecountyfl #bradentonflorida #browardcounty #patriots #conservatives #conspiracytiktok #globalnews #breakingnews #chemicalspill 	1527	175700	4006	8828	49	6904016946153882629	5741	66200	154	20230228	Derailment
7196372759021210922	2023-02-04 18:41:55	#breakingnews train accident in East Palestine Ohio. hazardous chemicals spilled and burning. #train #derailed #norfolksouthern  #ohio #eastpalestine #tankercar #chemical #hazmat #hazardousmaterials  #fire #crash #burning #traincrash #trainderailed #explosions #firefighters #onstandby #canthelp #unknownhazard #evacuate  #evacuation #orders #stateofemergencyohio #emergencydeclared  #stateofemergency  #fire #emt #fema #epa #transportation  #authority #onscene #enviroment #disaster #enviromentaldisaster  #manmadedisaster  #mistakesmade #whathappened  #centeroftown #railroad #downthemiddle #railroadlife  #railcar #traincar #trains #fail #failarmy #nooneinjured  #thankgod #everyonesafe #except #mothernature  #seeittobelieveit #watchandsee #catastrophic #worldending #disaster #tragic #tragedy #lifechanging #epic #avoidable #whosfault #howdidtheydothat  #whydidthishappen #answers #needed #distraction #endgame #planned #organized #GetCrackin  #newsrelease #pressrelease #mockingjay #standwithnoone #fyp #foryou #fypviral #tiktokdonttakethisdown #1stamendment #freedomofpress #freedomofspeech #firstamendment #news #press #public #persons #happeningnow #needtoknow #coolinfo #information #knowledge #documentary #firsthandaccounts #stayawake #foryoupage #blowthisup #mustsee #mustwatch #needtosee #youshouldknow #incaseyoumissedit #america #howitworks #unitedstates #ohio #journalism 	34	44300	68	281	147	7028697738058253317	11600	130900	358	20230204	OhioTrainCrash
7196834266880150826	2023-02-06 00:32:45	#train#traincrash#prediction #ohio#ohiotraincrash#ww3 #toxic#readysetgo #whitenoise#netflix#war#toxicair	14	41800	44	431	157	7151342079905940526	242	835	8	20230206	OhioTrainCrash
7197052845147933995	2023-02-06 14:41:21	Residents of East Palestine, Ohio are under a mandatory evacuation order after a freight train derailment caused a massive fire. Officials say those who do not evacuate could be arrested, adding that shrapnel from any explosion could reach as far as one mile from the crash site. #news #ohio #train 	1546	845300	3370	39600	77	6729587439721513989	1500000	69000000	3658	20230206	OhioTrainCrash
7197106720722652462	2023-02-06 18:10:02	Officials say the potential explosion could unleash toxic gas and blast deadly shrapnel for up to a mile. #ohio #ohiotrain #derail #train #eastpalestine #emergency #evacuation  	128	100400	503	2262	47	7108767708096578606	538300	11100000	422	20230206	OhioTrainCrash
7197112318885399854	2023-02-06 18:31:43	#ohiotraincrash #airborntoxicevent #theyareshowingyou	32	40200	77	506	183	6921030394881115142	1144	613	7	20230206	OhioTrainCrash
